Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709390423,3,,Aggregated,11.500000,0.000000,10,35,37,41,1300,1700,1900,2000,2000,2000,2000,258,0,13,207.02711650777246,4.151335000187828,1998.4619990000283,1461.1007751937984
1709390424,3,POST,/postData,4.200000,0.000000,36,39,47,47,66,72,78,78,78,78,78,87,0,36,43.33062202300195,30.298932999812678,79.55523100008577,122.50574712643679
1709390424,3,GET,/randStr,6.900000,0.000000,7,8,9,9,10,13,15,24,24,24,24,145,0,7,8.558468993108143,4.151335000187828,126.11271000014312,2681.3931034482757
1709390424,3,GET,/slow,1.900000,0.000000,1400,1700,1800,1900,2000,2000,2000,2000,2000,2000,2000,42,0,1100.0,1225.4822095239022,398.96885400003157,1998.4619990000283,0.0
1709390424,3,,Aggregated,13.000000,0.000000,10,36,39,56,1300,1700,1900,2000,2000,2000,2000,274,0,12,206.13501795622528,4.151335000187828,1998.4619990000283,1457.8832116788321
1709390425,4,POST,/postData,3.700000,0.000000,36,40,42,47,60,68,78,78,78,78,78,98,0,36,42.64388110204798,30.298932999812678,79.55523100008577,124.16326530612245
1709390425,4,GET,/randStr,6.500000,0.000000,7,8,9,9,10,12,14,15,15,15,15,171,0,7,8.383141549710517,4.151335000187828,126.11271000014312,2658.8304093567253
1709390425,4,GET,/slow,1.800000,0.000000,1400,1500,1700,1800,1900,1900,2000,2000,2000,2000,2000,45,0,1200.0,1228.0714557556369,398.96885400003157,1998.4619990000283,0.0
1709390425,4,,Aggregated,12.000000,0.000000,10,36,39,47,1100,1500,1800,1900,2000,2000,2000,314,0,11,193.872079815302,4.151335000187828,1998.4619990000283,1486.7133757961783
1709390426,4,POST,/postData,3.500000,0.000000,36,39,41,44,60,68,78,78,78,78,78,104,0,36,42.19306077885676,30.298932999812678,79.55523100008577,123.70192307692308
1709390426,4,GET,/randStr,6.800000,0.000000,7,8,9,9,10,12,14,15,15,15,15,178,0,7,8.316560247192356,4.151335000187828,126.11271000014312,2643.050561797753
1709390426,4,GET,/slow,1.900000,0.000000,1300,1400,1700,1700,1900,1900,2000,2000,2000,2000,2000,47,0,1100.0,1223.5524237660277,398.96885400003157,1998.4619990000283,0.0
1709390426,4,,Aggregated,12.200000,0.000000,10,36,38,44,1100,1400,1800,1900,2000,2000,2000,329,0,12,192.63036462615383,4.151335000187828,1998.4619990000283,1469.082066869301
1709390427,4,POST,/postData,3.600000,0.000000,36,37,40,42,56,68,72,78,78,78,78,112,0,36,41.608057035724805,30.298932999812678,79.55523100008577,122.27678571428571
1709390427,4,GET,/randStr,7.300000,0.000000,7,8,8,9,10,12,14,15,19,19,19,196,0,7,8.216164673466647,4.151335000187828,126.11271000014312,2635.4897959183672
1709390427,4,GET,/slow,2.000000,0.000000,1300,1400,1600,1700,1800,1900,2000,2000,2000,2000,2000,51,0,1100.0,1220.219444117723,398.96885400003157,1998.4619990000283,0.0
1709390427,4,,Aggregated,12.900000,0.000000,9,35,36,41,720,1400,1700,1900,2000,2000,2000,359,0,11,190.81242984402368,4.151335000187828,1998.4619990000283,1477.0222841225627
1709390428,4,POST,/postData,4.300000,0.000000,36,37,39,41,47,60,66,78,78,78,78,113,0,36,41.53884874337153,30.298932999812678,79.55523100008577,122.40707964601769
1709390428,4,GET,/randStr,8.800000,0.000000,7,8,8,9,10,12,14,15,19,19,19,200,0,7,8.196606574997531,4.151335000187828,126.11271000014312,2627.36
1709390428,4,GET,/slow,2.200000,0.000000,1200,1400,1500,1700,1800,1900,2000,2000,2000,2000,2000,54,0,1100.0,1215.3807296852608,398.96885400003157,1998.4619990000283,0.0
1709390428,4,,Aggregated,15.300000,0.000000,9,34,36,40,850,1400,1700,1900,2000,2000,2000,367,0,11,196.08656846322765,4.151335000187828,1998.4619990000283,1469.493188010899
1709390429,4,POST,/postData,5.100000,0.000000,36,36,38,39,44,54,78,78,78,78,78,116,0,36,41.31404428449059,30.298932999812678,79.55523100008577,122.50862068965517
1709390429,4,GET,/randStr,10.100000,0.000000,7,8,9,9,10,12,15,19,19,19,19,205,0,7,8.178872517070952,4.151335000187828,126.11271000014312,2625.6146341463414
1709390429,4,GET,/slow,2.300000,0.000000,1200,1400,1400,1500,1700,1800,1900,1900,1900,1900,1900,56,0,1100.0,1217.0392599643617,398.96885400003157,1998.4619990000283,0.0
1709390429,4,,Aggregated,17.500000,0.000000,9,34,36,39,1100,1400,1600,1800,1900,1900,1900,377,0,11,197.9397786764051,4.151335000187828,1998.4619990000283,1465.4164456233423
1709390430,4,POST,/postData,5.300000,0.000000,36,36,41,42,60,66,78,78,78,78,78,120,0,36,41.94165408333674,30.298932999812678,79.55523100008577,121.675
1709390430,4,GET,/randStr,10.700000,0.000000,7,8,9,9,10,12,15,19,19,19,19,218,0,7,8.086402986234777,4.151335000187828,126.11271000014312,2640.9954128440368
